	Vote	Label	HGSC symbol
ENSG00000165816	0.0	non-hallmark gene	VWA2
ENSG00000090863	0.0	non-hallmark gene	GLG1
ENSG00000214510	0.0	non-hallmark gene	SPINK13
ENSG00000105497	0.0	non-hallmark gene	ZNF175
ENSG00000181322	0.0	non-hallmark gene	NME9
ENSG00000112303	0.0	non-hallmark gene	VNN2
ENSG00000139597	0.0	non-hallmark gene	N4BP2L1
ENSG00000140450	0.0	non-hallmark gene	ARRDC4
ENSG00000125755	0.0	non-hallmark gene	SYMPK
ENSG00000007129	0.0	non-hallmark gene	CEACAM21
ENSG00000161513	6.0	non-hallmark gene	FDXR
ENSG00000198870	0.0	non-hallmark gene	STKLD1
ENSG00000239605	0.0	non-hallmark gene	STPG4
ENSG00000166578	0.0	non-hallmark gene	IQCD
ENSG00000151702	0.0	non-hallmark gene	FLI1
ENSG00000251664	0.0	non-hallmark gene	PCDHA12
ENSG00000196772	0.0	non-hallmark gene	OR14A16
ENSG00000172667	0.0	non-hallmark gene	ZMAT3
ENSG00000154678	0.0	non-hallmark gene	PDE1C
ENSG00000221882	0.0	non-hallmark gene	OR3A2
ENSG00000181273	0.0	non-hallmark gene	OR5AK2
ENSG00000007216	0.0	non-hallmark gene	SLC13A2
ENSG00000099399	0.0	non-hallmark gene	MAGEB2
ENSG00000178395	0.0	non-hallmark gene	CCDC185
ENSG00000126752	0.0	non-hallmark gene	SSX1
ENSG00000176182	0.0	non-hallmark gene	MYPOP
ENSG00000137770	0.0	non-hallmark gene	CTDSPL2
ENSG00000139190	0.0	non-hallmark gene	VAMP1
ENSG00000231192	0.0	non-hallmark gene	OR5H1
ENSG00000168078	81.0	Hallmark gene	PBK
ENSG00000166783	0.0	non-hallmark gene	MARF1
ENSG00000136504	0.0	non-hallmark gene	KAT7
ENSG00000065833	0.0	non-hallmark gene	ME1
ENSG00000258873	0.0	non-hallmark gene	DUXA
ENSG00000186564	0.0	non-hallmark gene	FOXD2
ENSG00000108510	0.0	non-hallmark gene	MED13
ENSG00000153982	0.0	non-hallmark gene	GDPD1
ENSG00000260007	0.0	non-hallmark gene	
ENSG00000165280	0.0	non-hallmark gene	VCP
ENSG00000087274	0.0	non-hallmark gene	ADD1
ENSG00000138385	0.0	non-hallmark gene	SSB
ENSG00000263353	0.0	non-hallmark gene	PPIAL4A
ENSG00000183024	0.0	non-hallmark gene	OR1G1
ENSG00000187735	0.0	non-hallmark gene	TCEA1
ENSG00000119471	0.0	non-hallmark gene	HSDL2
ENSG00000162636	0.0	non-hallmark gene	FAM102B
ENSG00000154832	0.0	non-hallmark gene	CXXC1
ENSG00000126216	0.0	non-hallmark gene	TUBGCP3
ENSG00000171487	0.0	non-hallmark gene	NLRP5
ENSG00000125775	0.0	non-hallmark gene	SDCBP2
ENSG00000141002	0.0	non-hallmark gene	TCF25
ENSG00000106608	0.0	non-hallmark gene	URGCP
ENSG00000198160	0.0	non-hallmark gene	MIER1
ENSG00000078902	0.0	non-hallmark gene	TOLLIP
ENSG00000011304	0.0	non-hallmark gene	PTBP1
ENSG00000130881	0.0	non-hallmark gene	LRP3
ENSG00000133393	0.0	non-hallmark gene	CEP20
ENSG00000197498	0.0	non-hallmark gene	RPF2
ENSG00000146826	0.0	non-hallmark gene	TRAPPC14
ENSG00000262246	0.0	non-hallmark gene	CORO7
ENSG00000165678	0.0	non-hallmark gene	GHITM
ENSG00000176076	0.0	non-hallmark gene	KCNE5
ENSG00000090554	0.0	non-hallmark gene	FLT3LG
ENSG00000115942	0.0	non-hallmark gene	ORC2
ENSG00000179178	0.0	non-hallmark gene	TMEM125
ENSG00000144959	0.0	non-hallmark gene	NCEH1
ENSG00000184831	0.0	non-hallmark gene	APOO
ENSG00000138678	0.0	non-hallmark gene	GPAT3
ENSG00000187720	0.0	non-hallmark gene	THSD4
ENSG00000092978	0.0	non-hallmark gene	GPATCH2
ENSG00000088992	0.0	non-hallmark gene	TESC
ENSG00000197380	0.0	non-hallmark gene	DACT3
ENSG00000197057	0.0	non-hallmark gene	DTHD1
ENSG00000134755	0.0	non-hallmark gene	DSC2
ENSG00000180264	0.0	non-hallmark gene	ADGRD2
ENSG00000171124	0.0	non-hallmark gene	FUT3
ENSG00000087586	192.0	Hallmark gene	AURKA
ENSG00000144802	0.0	non-hallmark gene	NFKBIZ
ENSG00000105792	0.0	non-hallmark gene	CFAP69
ENSG00000131634	0.0	non-hallmark gene	TMEM204
ENSG00000115541	0.0	non-hallmark gene	HSPE1
ENSG00000279195	0.0	non-hallmark gene	PRAMEF7
ENSG00000240303	0.0	non-hallmark gene	ACAD11
ENSG00000169752	0.0	non-hallmark gene	NRG4
ENSG00000099992	0.0	non-hallmark gene	TBC1D10A
ENSG00000177311	0.0	non-hallmark gene	ZBTB38
ENSG00000131669	0.0	non-hallmark gene	NINJ1
ENSG00000177045	0.0	non-hallmark gene	SIX5
ENSG00000180104	0.0	non-hallmark gene	EXOC3
ENSG00000028277	0.0	non-hallmark gene	POU2F2
ENSG00000169955	0.0	non-hallmark gene	ZNF747
ENSG00000135426	0.0	non-hallmark gene	TESPA1
ENSG00000135111	0.0	non-hallmark gene	TBX3
ENSG00000139687	0.0	non-hallmark gene	RB1
ENSG00000185386	0.0	non-hallmark gene	MAPK11
ENSG00000007341	0.0	non-hallmark gene	ST7L
ENSG00000181634	0.0	non-hallmark gene	TNFSF15
ENSG00000254206	0.0	non-hallmark gene	NPIPB11
ENSG00000113068	0.0	non-hallmark gene	PFDN1
ENSG00000198646	0.0	non-hallmark gene	NCOA6
ENSG00000011143	0.0	non-hallmark gene	MKS1
ENSG00000214511	0.0	non-hallmark gene	HIGD1C
ENSG00000240563	0.0	non-hallmark gene	L1TD1
ENSG00000153201	0.0	non-hallmark gene	RANBP2
ENSG00000158428	0.0	non-hallmark gene	CATIP
ENSG00000143319	0.0	non-hallmark gene	ISG20L2
ENSG00000188368	0.0	non-hallmark gene	PRR19
ENSG00000068784	0.0	non-hallmark gene	SRBD1
ENSG00000054611	0.0	non-hallmark gene	TBC1D22A
ENSG00000105135	0.0	non-hallmark gene	ILVBL
ENSG00000183072	0.0	non-hallmark gene	NKX2-5
ENSG00000151239	0.0	non-hallmark gene	TWF1
ENSG00000174720	0.0	non-hallmark gene	LARP7
ENSG00000158815	0.0	non-hallmark gene	FGF17
ENSG00000146574	0.0	non-hallmark gene	CCZ1B
ENSG00000124772	0.0	non-hallmark gene	CPNE5
ENSG00000160446	0.0	non-hallmark gene	ZDHHC12
ENSG00000196811	0.0	non-hallmark gene	CHRNG
ENSG00000167117	0.0	non-hallmark gene	ANKRD40CL
ENSG00000103168	0.0	non-hallmark gene	TAF1C
ENSG00000118985	0.0	non-hallmark gene	ELL2
ENSG00000171847	0.0	non-hallmark gene	FAM90A1
ENSG00000180934	0.0	non-hallmark gene	OR56A1
ENSG00000132698	0.0	non-hallmark gene	RAB25
ENSG00000146802	0.0	non-hallmark gene	TMEM168
ENSG00000033170	0.0	non-hallmark gene	FUT8
ENSG00000106266	0.0	non-hallmark gene	SNX8
ENSG00000204713	0.0	non-hallmark gene	TRIM27
ENSG00000133704	0.0	non-hallmark gene	IPO8
ENSG00000156076	0.0	non-hallmark gene	WIF1
ENSG00000178695	0.0	non-hallmark gene	KCTD12
ENSG00000167721	0.0	non-hallmark gene	TSR1
ENSG00000205629	0.0	non-hallmark gene	LCMT1
ENSG00000154358	0.0	non-hallmark gene	OBSCN
ENSG00000163093	0.0	non-hallmark gene	BBS5
ENSG00000143184	0.0	non-hallmark gene	XCL1
ENSG00000113578	0.0	non-hallmark gene	FGF1
ENSG00000130827	0.0	non-hallmark gene	PLXNA3
ENSG00000004776	0.0	non-hallmark gene	HSPB6
ENSG00000174989	0.0	non-hallmark gene	FBXW8
ENSG00000164822	0.0	non-hallmark gene	DEFA6
ENSG00000125864	0.0	non-hallmark gene	BFSP1
ENSG00000185053	0.0	non-hallmark gene	SGCZ
ENSG00000089225	0.0	non-hallmark gene	TBX5
ENSG00000255251	0.0	non-hallmark gene	PRR23D1
ENSG00000254788	0.0	non-hallmark gene	CKLF-CMTM1
ENSG00000182521	0.0	non-hallmark gene	TBPL2
ENSG00000157514	84.0	non-hallmark gene	TSC22D3
ENSG00000058335	0.0	non-hallmark gene	RASGRF1
ENSG00000151690	0.0	non-hallmark gene	MFSD6
ENSG00000197786	0.0	non-hallmark gene	OR5B17
ENSG00000151892	0.0	non-hallmark gene	GFRA1
ENSG00000140326	0.0	non-hallmark gene	CDAN1
ENSG00000133863	0.0	non-hallmark gene	TEX15
ENSG00000139549	0.0	non-hallmark gene	DHH
ENSG00000142513	0.0	non-hallmark gene	ACP4
ENSG00000064012	0.0	non-hallmark gene	CASP8
ENSG00000115946	0.0	non-hallmark gene	PNO1
ENSG00000249467	0.0	non-hallmark gene	H2AL1Q
ENSG00000109062	0.0	non-hallmark gene	SLC9A3R1
ENSG00000124831	0.0	non-hallmark gene	LRRFIP1
ENSG00000243073	0.0	non-hallmark gene	PRAMEF4
ENSG00000146383	0.0	non-hallmark gene	TAAR6
ENSG00000107186	0.0	non-hallmark gene	MPDZ
ENSG00000161057	0.0	non-hallmark gene	PSMC2
ENSG00000205323	0.0	non-hallmark gene	SARNP
ENSG00000164778	0.0	non-hallmark gene	EN2
ENSG00000112308	0.0	non-hallmark gene	C6orf62
ENSG00000198911	0.0	non-hallmark gene	SREBF2
ENSG00000043591	0.0	non-hallmark gene	ADRB1
ENSG00000148429	0.0	non-hallmark gene	USP6NL
ENSG00000172890	0.0	non-hallmark gene	NADSYN1
ENSG00000224107	0.0	non-hallmark gene	ETDB
ENSG00000185056	0.0	non-hallmark gene	C5orf47
ENSG00000132300	0.0	non-hallmark gene	PTCD3
ENSG00000198681	0.0	non-hallmark gene	MAGEA1
ENSG00000168619	0.0	non-hallmark gene	ADAM18
ENSG00000124391	0.0	non-hallmark gene	IL17C
ENSG00000166575	0.0	non-hallmark gene	TMEM135
ENSG00000141639	0.0	non-hallmark gene	MAPK4
ENSG00000179409	0.0	non-hallmark gene	GEMIN4
ENSG00000238074	0.0	non-hallmark gene	TSPY9
ENSG00000186886	0.0	non-hallmark gene	OR5D3P
ENSG00000177283	0.0	non-hallmark gene	FZD8
ENSG00000110172	0.0	non-hallmark gene	CHORDC1
ENSG00000130783	0.0	non-hallmark gene	CCDC62
ENSG00000198157	0.0	non-hallmark gene	HMGN5
ENSG00000249139	0.0	non-hallmark gene	EPPIN-WFDC6
ENSG00000130592	0.0	non-hallmark gene	LSP1
ENSG00000188536	226.0	non-hallmark gene	HBA2
ENSG00000169992	0.0	non-hallmark gene	NLGN2
ENSG00000151790	25.0	non-hallmark gene	TDO2
ENSG00000137075	0.0	non-hallmark gene	RNF38
ENSG00000139675	0.0	non-hallmark gene	HNRNPA1L2
ENSG00000256797	0.0	non-hallmark gene	KLRF2
ENSG00000108771	0.0	non-hallmark gene	DHX58
ENSG00000178904	0.0	non-hallmark gene	DPY19L3
ENSG00000185829	0.0	non-hallmark gene	ARL17A
ENSG00000181938	0.0	non-hallmark gene	GINS3
ENSG00000172464	0.0	non-hallmark gene	OR5AP2
ENSG00000121101	0.0	non-hallmark gene	TEX14
ENSG00000100461	0.0	non-hallmark gene	RBM23
ENSG00000196313	0.0	non-hallmark gene	POM121
ENSG00000013619	0.0	non-hallmark gene	MAMLD1
ENSG00000145736	0.0	non-hallmark gene	GTF2H2
ENSG00000134575	0.0	non-hallmark gene	ACP2
ENSG00000112761	0.0	non-hallmark gene	CCN6
ENSG00000172073	0.0	non-hallmark gene	TEX37
ENSG00000270629	0.0	non-hallmark gene	NBPF14
ENSG00000163795	0.0	non-hallmark gene	ZNF513
ENSG00000100908	1.0	non-hallmark gene	EMC9
ENSG00000134698	0.0	non-hallmark gene	AGO4
ENSG00000124343	0.0	non-hallmark gene	XG
ENSG00000172154	0.0	non-hallmark gene	OR8I2
ENSG00000138696	0.0	non-hallmark gene	BMPR1B
ENSG00000185973	0.0	non-hallmark gene	TMLHE
ENSG00000186197	0.0	non-hallmark gene	EDARADD
ENSG00000031698	0.0	non-hallmark gene	SARS1
ENSG00000161277	0.0	non-hallmark gene	THAP8
ENSG00000153037	0.0	non-hallmark gene	SRP19
ENSG00000166311	0.0	non-hallmark gene	SMPD1
ENSG00000110717	0.0	non-hallmark gene	NDUFS8
ENSG00000257411	0.0	non-hallmark gene	
ENSG00000128322	0.0	non-hallmark gene	IGLL1
ENSG00000185842	0.0	non-hallmark gene	DNAH14
ENSG00000120318	0.0	non-hallmark gene	ARAP3
ENSG00000100918	0.0	non-hallmark gene	REC8
ENSG00000099256	0.0	non-hallmark gene	PRTFDC1
ENSG00000006327	0.0	non-hallmark gene	TNFRSF12A
ENSG00000153802	0.0	non-hallmark gene	TMPRSS11D
ENSG00000124780	0.0	non-hallmark gene	KCNK17
ENSG00000101577	228.0	non-hallmark gene	LPIN2
ENSG00000083635	0.0	non-hallmark gene	NUFIP1
ENSG00000256683	0.0	non-hallmark gene	ZNF350
ENSG00000156966	0.0	non-hallmark gene	B3GNT7
ENSG00000107281	0.0	non-hallmark gene	NPDC1
ENSG00000256771	0.0	non-hallmark gene	ZNF253
ENSG00000213402	0.0	non-hallmark gene	PTPRCAP
ENSG00000198205	0.0	non-hallmark gene	ZXDA
ENSG00000172000	0.0	non-hallmark gene	ZNF556
ENSG00000143333	0.0	non-hallmark gene	RGS16
ENSG00000083307	0.0	non-hallmark gene	GRHL2
ENSG00000188419	0.0	non-hallmark gene	CHM
ENSG00000125845	1.0	non-hallmark gene	BMP2
ENSG00000170876	0.0	non-hallmark gene	TMEM43
ENSG00000110852	0.0	non-hallmark gene	CLEC2B
ENSG00000089127	249.0	non-hallmark gene	OAS1
ENSG00000114698	0.0	non-hallmark gene	PLSCR4
ENSG00000176953	0.0	non-hallmark gene	NFATC2IP
ENSG00000146090	0.0	non-hallmark gene	RASGEF1C
ENSG00000170044	0.0	non-hallmark gene	ZPLD1
ENSG00000130414	0.0	non-hallmark gene	NDUFA10
ENSG00000242362	0.0	non-hallmark gene	CT47A2
ENSG00000182195	1.0	non-hallmark gene	LDOC1
ENSG00000204084	0.0	non-hallmark gene	INPP5B
ENSG00000158966	0.0	non-hallmark gene	CACHD1
ENSG00000171827	0.0	non-hallmark gene	ZNF570
ENSG00000156011	0.0	non-hallmark gene	PSD3
ENSG00000112159	0.0	non-hallmark gene	MDN1
ENSG00000144580	0.0	non-hallmark gene	CNOT9
ENSG00000177106	0.0	non-hallmark gene	EPS8L2
ENSG00000164438	0.0	non-hallmark gene	TLX3
ENSG00000108389	0.0	non-hallmark gene	MTMR4
ENSG00000173085	0.0	non-hallmark gene	COQ2
ENSG00000167916	0.0	non-hallmark gene	KRT24
ENSG00000152785	0.0	non-hallmark gene	BMP3
ENSG00000118369	0.0	non-hallmark gene	USP35
ENSG00000133636	0.0	non-hallmark gene	NTS
ENSG00000145545	0.0	non-hallmark gene	SRD5A1
ENSG00000104901	0.0	non-hallmark gene	DKKL1
ENSG00000128276	0.0	non-hallmark gene	RFPL3
ENSG00000151079	0.0	non-hallmark gene	KCNA6
ENSG00000135362	0.0	non-hallmark gene	PRR5L
ENSG00000134490	0.0	non-hallmark gene	TMEM241
ENSG00000115239	0.0	non-hallmark gene	ASB3
ENSG00000185269	0.0	non-hallmark gene	NOTUM
ENSG00000179909	0.0	non-hallmark gene	ZNF154
ENSG00000105538	0.0	non-hallmark gene	RASIP1
ENSG00000187997	0.0	non-hallmark gene	C17orf99
ENSG00000170419	0.0	non-hallmark gene	VSTM2A
ENSG00000131015	0.0	non-hallmark gene	ULBP2
ENSG00000124429	0.0	non-hallmark gene	POF1B
ENSG00000168994	0.0	non-hallmark gene	PXDC1
ENSG00000160404	0.0	non-hallmark gene	TOR2A
ENSG00000174326	0.0	non-hallmark gene	SLC16A11
ENSG00000164500	0.0	non-hallmark gene	SPATA48
ENSG00000273291	0.0	non-hallmark gene	
ENSG00000127507	0.0	non-hallmark gene	ADGRE2
ENSG00000163563	0.0	non-hallmark gene	MNDA
ENSG00000261949	0.0	non-hallmark gene	GFY
ENSG00000078114	0.0	non-hallmark gene	NEBL
ENSG00000259009	0.0	non-hallmark gene	TPRX2
ENSG00000112293	0.0	non-hallmark gene	GPLD1
ENSG00000009709	0.0	non-hallmark gene	PAX7
ENSG00000267221	0.0	non-hallmark gene	C17orf113
ENSG00000183979	0.0	non-hallmark gene	NPB
ENSG00000196151	0.0	non-hallmark gene	WDSUB1
ENSG00000159374	0.0	non-hallmark gene	M1AP
ENSG00000082497	0.0	non-hallmark gene	SERTAD4
ENSG00000113430	0.0	non-hallmark gene	IRX4
ENSG00000169189	0.0	non-hallmark gene	NSMCE1
ENSG00000110063	0.0	non-hallmark gene	DCPS
ENSG00000130950	0.0	non-hallmark gene	NUTM2F
ENSG00000054179	0.0	non-hallmark gene	ENTPD2
ENSG00000158488	0.0	non-hallmark gene	CD1E
ENSG00000117748	0.0	non-hallmark gene	RPA2
ENSG00000169964	0.0	non-hallmark gene	TMEM42
ENSG00000213654	230.0	non-hallmark gene	GPSM3
ENSG00000164924	0.0	non-hallmark gene	YWHAZ
ENSG00000228672	0.0	non-hallmark gene	PROB1
ENSG00000176774	0.0	non-hallmark gene	MAGEB18
ENSG00000189060	0.0	non-hallmark gene	H1-0
ENSG00000162144	0.0	non-hallmark gene	CYB561A3
ENSG00000007168	0.0	non-hallmark gene	PAFAH1B1
ENSG00000214140	0.0	non-hallmark gene	PRCD
ENSG00000092969	0.0	non-hallmark gene	TGFB2
ENSG00000120910	0.0	non-hallmark gene	PPP3CC
ENSG00000188223	0.0	non-hallmark gene	
ENSG00000269469	0.0	non-hallmark gene	
ENSG00000101350	0.0	non-hallmark gene	KIF3B
ENSG00000102287	0.0	non-hallmark gene	GABRE
ENSG00000014164	0.0	non-hallmark gene	ZC3H3
ENSG00000117266	0.0	non-hallmark gene	CDK18
ENSG00000197122	0.0	non-hallmark gene	SRC
ENSG00000154553	0.0	non-hallmark gene	PDLIM3
ENSG00000165476	0.0	non-hallmark gene	REEP3
ENSG00000160401	0.0	non-hallmark gene	CFAP157
ENSG00000133983	0.0	non-hallmark gene	COX16
ENSG00000279270	0.0	non-hallmark gene	OR52R1
ENSG00000116198	0.0	non-hallmark gene	CEP104
ENSG00000147606	0.0	non-hallmark gene	SLC26A7
ENSG00000115053	0.0	non-hallmark gene	NCL
ENSG00000011028	0.0	non-hallmark gene	MRC2
ENSG00000100296	0.0	non-hallmark gene	THOC5
ENSG00000071203	0.0	non-hallmark gene	MS4A12
ENSG00000128266	0.0	non-hallmark gene	GNAZ
ENSG00000130669	0.0	non-hallmark gene	PAK4
ENSG00000215305	0.0	non-hallmark gene	VPS16
ENSG00000115947	0.0	non-hallmark gene	ORC4
ENSG00000103479	0.0	non-hallmark gene	RBL2
ENSG00000189056	0.0	non-hallmark gene	RELN
ENSG00000117971	0.0	non-hallmark gene	CHRNB4
